Date;Price;Open;High;Low;Vol.;Change %
07.01.2018;7,729.4;6,398.5;8,484.6;6,398.5;7.06M;20.79%
06.01.2018;6,398.9;7,502.5;7,775.0;5,785.3;4.78M;-14.71%
05.01.2018;7,502.6;9,245.1;9,992.8;7,069.8;5.04M;-18.85%
04.01.2018;9,245.1;6,939.1;9,753.1;6,460.1;6.22M;33.25%
03.01.2018;6,938.2;10,335.1;11,506.9;6,603.8;7.61M;-32.86%
02.01.2018;10,333.9;10,266.2;11,791.5;5,996.6;8.54M;0.67%
01.01.2018;10,265.4;13,850.5;17,252.8;9,271.3;4.84M;-25.88%
12.01.2017;13,850.4;9,947.1;19,870.6;9,420.9;5.12M;39.25%
11.01.2017;9,946.8;6,449.1;11,417.8;5,493.6;3.96M;54.18%
10.01.2017;6,451.2;4,360.6;6,467.2;4,143.4;2.98M;47.94%
09.01.2017;4,360.6;4,735.1;4,976.5;2,979.9;3.93M;-7.91%
08.01.2017;4,735.1;2,883.3;4,765.1;2,659.6;3.13M;64.23%
07.01.2017;2,883.3;2,480.6;2,932.8;1,809.0;3.75M;16.23%
06.01.2017;2,480.6;2,303.3;2,985.1;2,125.6;3.35M;7.70%
05.01.2017;2,303.3;1,351.9;2,781.8;1,342.8;3.45M;70.38%
04.01.2017;1,351.9;1,079.1;1,358.9;841.5;1.56M;25.28%
03.01.2017;1,079.1;1,189.3;1,330.4;890.4;2.68M;-9.26%
02.01.2017;1,189.3;965.5;1,211.7;924.7;1.31M;23.18%
01.01.2017;965.5;963.4;1,150.6;739.5;2.21M;0.22%
12.01.2016;963.4;742.5;982.6;741.1;1.27M;29.75%
11.01.2016;742.5;698.7;755.3;670.4;1.23M;6.27%
10.01.2016;698.7;608.1;720.2;606.5;905.66K;14.89%
09.01.2016;608.1;573.9;705.0;569.3;748.55K;5.97%
08.01.2016;573.9;621.9;627.9;471.4;1.08M;-7.72%
07.01.2016;621.9;670.0;701.5;605.0;1.63M;-7.19%
06.01.2016;670.0;528.9;776.0;521.3;3.55M;26.68%
05.01.2016;528.9;448.5;548.0;435.4;1.66M;17.92%
04.01.2016;448.5;415.7;468.9;412.4;1.39M;7.91%
03.01.2016;415.7;436.2;439.0;386.9;1.66M;-4.71%
02.01.2016;436.2;369.8;447.6;365.3;1.99M;17.95%
01.01.2016;369.8;430.0;462.9;350.4;2.49M;-13.98%
12.01.2015;430.0;378.0;467.7;347.2;3.20M;13.75%
11.01.2015;378.0;311.2;492.8;292.4;4.29M;21.44%
10.01.2015;311.2;235.9;334.9;234.7;2.28M;31.92%
09.01.2015;235.9;229.5;246.4;224.1;1.65M;2.82%
08.01.2015;229.5;283.7;285.7;196.3;2.22M;-19.12%
07.01.2015;283.7;264.1;315.9;243.2;1.86M;7.42%
06.01.2015;264.1;229.8;268.7;221.0;1.75M;14.91%
05.01.2015;229.8;235.8;247.9;228.2;1.64M;-2.52%
04.01.2015;235.8;244.1;261.5;214.1;2.07M;-3.43%
03.01.2015;244.1;254.1;301.0;234.8;2.97M;-3.90%
02.01.2015;254.1;218.5;264.6;209.7;2.09M;16.27%
01.01.2015;218.5;318.2;321.4;157.3;1.56M;-31.34%
12.01.2014;318.2;374.9;384.9;303.4;847.29K;-15.12%
11.01.2014;374.9;337.9;480.5;319.8;711.11K;10.97%
10.01.2014;337.9;388.2;407.7;294.9;569.00K;-12.96%
09.01.2014;388.2;481.8;498.5;372.6;295.62K;-19.43%
08.01.2014;481.8;589.5;608.2;450.0;126.17K;-18.28%
07.01.2014;589.5;635.1;652.5;564.0;107.22K;-7.18%
06.01.2014;635.1;627.9;676.5;560.8;111.81K;1.15%
