Date;Open;High;Low;Close;Adj Close;Volume
01.06.2017;36.247501;42.125000;35.527500;36.139999;35.701561;2344552000
01.07.2017;36.262501;42.482498;34.645000;40.627499;40.134624;1549101600
01.08.2017;40.532501;43.639999;38.227501;42.360001;41.846119;1472821600
01.09.2017;42.487499;47.799999;40.677502;44.692501;44.189182;1444733600
01.10.2017;45.200001;51.972500;44.250000;51.702499;51.120228;1142266400
01.11.2017;52.337502;54.667500;47.807499;50.177502;49.612415;1183089600
01.12.2017;49.827499;50.075001;45.145000;48.375000;47.863449;1011221600
01.01.2018;48.945000;62.317501;48.625000;61.450001;60.800179;1145621600
01.02.2018;59.630001;62.992500;51.000000;60.500000;59.860218;1491552800
01.03.2018;60.477501;63.625000;54.250000;57.897499;57.320839;1411844000
01.04.2018;57.185001;59.812500;52.575001;56.224998;55.665005;1114400800
01.05.2018;56.142502;65.125000;55.549999;63.047501;62.419552;1197824000
01.06.2018;63.500000;67.300003;58.752499;59.224998;58.671375;878554000
01.07.2018;58.522499;64.150002;58.314999;61.215000;60.642776;632187600
01.08.2018;61.532501;70.430000;59.680000;70.169998;69.514091;1091783600
01.09.2018;70.037498;71.305000;64.669998;70.254997;69.636353;634020000
01.10.2018;71.040001;73.190002;44.002499;52.707500;52.243374;1297797600
01.11.2018;53.075001;55.500000;33.327499;40.857498;40.497715;1616234000
01.12.2018;43.150002;43.669998;31.115000;33.375000;33.114204;1245140800
01.01.2019;32.660000;40.220001;31.922501;35.937500;35.656681;1687099200
01.02.2019;36.125000;41.320000;35.645000;38.564999;38.263645;1144572800
01.03.2019;39.067501;46.250000;36.200001;44.889999;44.585133;1206854000
01.04.2019;45.814999;48.367500;43.325001;45.250000;44.942688;943778000
01.05.2019;45.777500;46.217499;33.847500;33.865002;33.635010;1118075200
01.06.2019;33.977501;41.342499;33.150002;41.057499;40.825207;823334000
01.07.2019;43.142502;44.722500;38.750000;42.180000;41.941353;841598400
01.08.2019;42.285000;43.362499;36.847500;41.877499;41.640560;945032800
01.09.2019;41.145000;47.099998;40.812500;43.517502;43.314125;634776800
01.10.2019;43.750000;52.224998;42.532501;50.255001;50.020123;769617200
01.11.2019;49.900002;55.352501;49.647499;54.185001;53.931770;732180000
01.12.2019;54.115002;60.452499;50.092499;58.825001;58.593281;654353200
01.01.2020;59.687500;64.875000;57.817501;59.107498;58.874668;612541200
01.02.2020;58.924999;79.080002;58.862499;67.517502;67.251526;1184865200
01.03.2020;69.224998;71.222504;45.169998;65.900002;65.679665;1577395200
01.04.2020;63.912498;76.050003;59.597500;73.070000;72.825691;1127830400
01.05.2020;71.087502;91.817497;70.209999;88.754997;88.458260;1254887600
01.06.2020;88.332497;96.425003;86.580002;94.977501;94.659966;971946400
01.07.2020;95.207497;107.922501;94.129997;106.147499;105.840889;809445200
01.08.2020;107.324997;135.750000;107.152496;133.744995;133.358658;967254400
01.09.2020;134.800003;147.267502;117.042503;135.304993;134.914154;1585655200
01.10.2020;137.580002;143.485001;123.000000;125.339996;125.015343;802235600
01.11.2020;126.577499;146.914993;123.949997;134.014999;133.667877;759482000
01.12.2020;134.922501;137.312500;127.632500;130.550003;130.211868;512099600
01.01.2021;131.042496;139.992493;125.860001;129.897507;129.599335;615417200
01.02.2021;130.532501;153.725006;129.027496;137.145004;136.830154;668032400
01.03.2021;138.750000;139.250000;115.665001;133.482498;133.176102;764865600
01.04.2021;135.722504;162.142502;135.112503;150.095001;149.802124;671879600
01.05.2021;151.250000;162.774994;134.589996;162.445007;162.128052;705438000
01.06.2021;162.699997;201.625000;159.032501;200.024994;199.634720;1027329200
01.07.2021;201.250000;208.750000;178.654999;194.990005;194.654144;782307700
01.08.2021;197.000000;230.429993;187.619995;223.850006;223.464417;641638600
01.09.2021;224.850006;229.860001;204.669998;207.160004;206.839676;499898600
01.10.2021;207.500000;257.089996;195.550003;255.669998;255.274628;497107800
01.11.2021;256.489990;346.470001;252.270004;326.760010;326.254669;1081117000
01.12.2021;332.190002;332.890015;271.450012;294.109985;293.655182;1105850500
01.01.2022;298.149994;307.109985;208.880005;244.860001;244.511276;1068216400
01.02.2022;251.039993;269.250000;208.899994;243.850006;243.502731;1064427000
01.03.2022;242.910004;289.459991;206.500000;272.859985;272.471375;1164459900
01.04.2022;273.750000;275.579987;182.899994;185.470001;185.237427;1111439000
01.05.2022;185.410004;204.000000;155.669998;186.720001;186.485870;1383302100
01.06.2022;187.240005;196.190002;148.619995;151.589996;151.399902;1055479100
01.07.2022;148.990005;182.440002;140.550003;181.630005;181.440582;1056447600
01.08.2022;181.820007;192.740005;149.589996;150.940002;150.782593;1206964800
01.09.2022;142.089996;145.470001;119.459999;121.389999;121.263405;1313057800
01.10.2022;123.470001;138.500000;108.129997;134.970001;134.869308;1254927700
01.11.2022;138.110001;169.979996;129.559998;169.229996;169.103760;1060060300
01.12.2022;169.990005;187.899994;138.839996;146.139999;146.068329;894615200
01.01.2023;148.509995;206.279999;140.339996;195.369995;195.274185;945496000
01.02.2023;196.910004;238.880005;196.110001;232.160004;232.046158;1039347900
01.03.2023;231.919998;278.339996;222.970001;277.769989;277.633759;1126373100
01.04.2023;275.089996;281.100006;262.200012;277.489990;277.401031;743592100
01.05.2023;278.399994;419.380005;272.399994;378.339996;378.218689;1169636000
01.06.2023;384.890015;439.899994;373.559998;423.019989;422.884338;1052209200
01.07.2023;425.170013;480.880005;413.459991;467.290009;467.188538;870489500
01.08.2023;464.600006;502.660004;403.109985;493.549988;493.442780;1363143600
01.09.2023;497.619995;498.000000;409.799988;434.989990;434.895508;857510100
01.10.2023;440.299988;476.089996;392.299988;407.799988;407.744995;1013917700
01.11.2023;408.839996;505.480011;408.690002;467.700012;467.636963;914386300
01.12.2023;465.250000;504.329987;450.100006;495.220001;495.153229;740951700
01.01.2024;492.440002;634.929993;473.200012;615.270020;615.241150;970385300
01.02.2024;621.000000;823.940002;616.500000;791.119995;791.082886;1107569200
01.03.2024;800.000000;974.000000;794.349976;903.559998;903.517639;1213419000
01.04.2024;902.989990;922.250000;756.059998;864.020020;864.020020;1006815100
01.05.2024;850.770020;1063.199951;812.549988;1037.989990;1037.989990;690571900
24.05.2024;1045.180054;1048.050049;1030.000000;1047.653442;1047.653442;16104843
